,Time,Free Energy
0,1,-327.20795850101547
1,2,-338.65233890946206
2,3,-349.15727667494997
3,4,-358.8012611602692
4,5,-367.6552510361176
5,6,-375.7835168091083
6,7,-383.24437388076507
7,8,-390.0908224681968
8,9,-396.37110795936724
9,10,-402.12921303777597
10,11,-407.4052910850926
11,12,-412.23604887235507
12,13,-416.65508531571135
13,14,-420.6931920503334
14,15,-424.3786207258463
15,16,-427.73732121645713
16,17,-430.79315434348223
17,18,-433.56808220675146
18,19,-436.08233879794943
19,20,-438.35458321003483
20,21,-440.4020374516223
21,22,-442.2406106147784
22,23,-443.8850109218136
23,24,-445.34884698538366
24,25,-446.6447194516056
25,26,-447.78430405384853
26,27,-448.7784269819816
27,28,-449.6371333652916
28,29,-450.3697495746459
29,30,-450.98493996876596
30,31,-451.49075863899975
31,32,-451.894696645317
32,33,-452.203725182183
33,34,-452.4243350654626
34,35,-452.5625728897047
35,36,-452.6240741682857
36,37,-452.61409373632716
37,38,-452.5375336674866
38,39,-452.3989689301826
39,40,-452.20267098613783
40,41,-451.9526295139696
41,42,-451.6525724226043
42,43,-451.3059843032853
43,44,-450.91612345465023
44,45,-450.48603760256833
45,46,-450.01857842498663
46,47,-449.5164149817673
47,48,-448.9820461402885
48,49,-448.41781207930205
49,50,-447.8259049460862
50,51,-447.20837873522436
51,52,-446.5671584512832
52,53,-445.9040486121985
53,54,-445.2207411452357
54,55,-444.5188227229246
55,56,-443.7997815823141
56,57,-443.0650138672281
57,58,-442.31582952986855
58,59,-441.55345782508806
59,60,-440.7790524279043
60,61,-439.9936962023255
61,62,-439.1984056472759
62,63,-438.3941350433339
63,64,-437.5817803221015
64,65,-436.762182678288
65,66,-435.9361319430188
66,67,-435.1043697354243
67,68,-434.2675924082504
68,69,-433.42645380201304
69,70,-432.58156782111473
70,71,-431.73351084431897
71,72,-430.8828239810463
72,73,-430.03001518409627
73,74,-429.175561228614
74,75,-428.3199095663898
75,76,-427.46348006391895
76,77,-426.60666663203176
77,78,-425.7498387543379
78,79,-424.89334292120805
79,80,-424.03750397553785
80,81,-423.1826263760891
81,82,-422.3289953838001
82,83,-421.47687817607334
83,84,-420.62652489370294
84,85,-419.77816962477607
85,86,-418.9320313295886
86,87,-418.0883147103329
87,88,-417.24721102906256
88,89,-416.40889887719914
89,90,-415.57354489962586
90,91,-414.74130447620985
91,92,-413.9123223634019
92,93,-413.08673329838985
93,94,-412.26466256811506
94,95,-411.446226545312
95,96,-410.631533193588
96,97,-409.8206825434272
97,98,-409.01376714088707
98,99,-408.21087247063116
99,100,-407.41207735484716
100,101,-406.61745432949283
101,102,-405.82706999922385
102,103,-405.04098537227014
103,104,-404.25925617644975
104,105,-403.48193315743214
105,106,-402.7090623602943
106,107,-401.940685395349
107,108,-401.1768396891621
108,109,-400.4175587216202
109,110,-399.66287224985774
110,111,-398.91280651980105
111,112,-398.1673844660427
112,113,-397.4266259007152
113,114,-396.6905476919928
114,115,-395.9591639328117
115,116,-395.23248610036546
116,117,-394.510523206896
117,118,-393.79328194227287
118,119,-393.080766808822
119,120,-392.3729802488382
120,121,-391.6699227651916
121,122,-390.97159303541156
122,123,-390.27798801961194
123,124,-389.5891030625979
124,125,-388.9049319904773
125,126,-388.22546720207697
126,127,-387.5506997554526
127,128,-386.88061944975874
128,129,-386.2152149027333
129,130,-385.55447362403595
130,131,-384.8983820846661
131,132,-384.2469257826716
132,133,-383.6000893053507
133,134,-382.9578563881362
134,135,-382.3202099703386
135,136,-381.6871322479203
136,137,-381.05860472345637
137,138,-380.4346082534348
138,139,-379.815123093038
139,140,-379.2001289385377
140,141,-378.5896049674325
141,142,-377.98352987644626
142,143,-377.38188191750055
143,144,-376.784638931769
144,145,-376.1917783819131
145,146,-375.60327738259707
146,147,-375.01911272937025
147,148,-374.43926092600356
148,149,-373.86369821036044
149,150,-373.29240057887944
