,Time,Free Energy
0,1,-658.0600293173442
1,2,-724.9798777547775
2,3,-787.3768924949834
3,4,-845.6576467885486
4,5,-900.1828767444144
5,6,-951.2737457097068
6,7,-999.2170983474656
7,8,-1044.269892266998
8,9,-1086.6629555883617
9,10,-1126.6041885666734
10,11,-1164.2813040045876
11,12,-1199.8641829375824
12,13,-1233.5069077412484
13,14,-1265.3495234637
14,15,-1295.5195691450997
15,16,-1324.1334136358053
16,17,-1351.2974245752425
17,18,-1377.1089944477144
18,19,-1401.6574437602067
19,20,-1425.0248182135606
20,21,-1447.2865941240316
21,22,-1468.5123041888007
22,23,-1488.7660938909635
23,24,-1508.1072173389748
24,25,-1526.5904800783696
25,26,-1544.2666353563577
26,27,-1561.1827394276436
27,28,-1577.3824707342296
28,29,-1592.9064171499883
29,30,-1607.7923349336604
30,31,-1622.0753825662246
31,32,-1635.7883322476118
32,33,-1648.9617614830345
33,34,-1661.6242268920862
34,35,-1673.8024221169915
35,36,-1685.521321483971
36,37,-1696.8043108785314
37,38,-1707.6733071273723
38,39,-1718.1488670330045
39,40,-1728.2502870789704
40,41,-1737.995694711312
41,42,-1747.4021320033962
42,43,-1756.4856324245707
43,44,-1765.2612913567773
44,45,-1773.7433309359214
45,46,-1781.9451597351997
46,47,-1789.8794277548773
47,48,-1797.5580771362054
48,49,-1804.992388975612
49,50,-1812.1930265783044
50,51,-1819.1700754574788
51,52,-1825.9330803558971
52,53,-1832.4910795403196
53,54,-1838.8526365957482
54,55,-1845.0258699253566
55,56,-1851.0184801430578
56,57,-1856.8377755286785
57,58,-1862.4906957004087
58,59,-1867.9838336454332
59,60,-1873.3234562372313
60,61,-1878.5155233568312
61,62,-1883.5657057251722
62,63,-1888.4794015445677
63,64,-1893.2617520389613
64,65,-1897.917655975156
65,66,-1902.4517832403544
66,67,-1906.8685875451602
67,68,-1911.172318315546
68,69,-1915.3670318321622
69,70,-1919.456601670694
70,71,-1923.4447284926937
71,72,-1927.3349492324528
72,73,-1931.1306457218993
73,74,-1934.8350527922792
74,75,-1938.4512658883982
75,76,-1941.9822482284862
76,77,-1945.4308375402475
77,78,-1948.7997524013867
78,79,-1952.0915982107886
79,80,-1955.308872814615
80,81,-1958.4539718098022
81,82,-1961.5291935458254
82,83,-1964.5367438440833
83,84,-1967.478740452893
84,85,-1970.357217254795
85,86,-1973.1741282417129
86,87,-1975.9313512724145
87,88,-1978.630691625731
88,89,-1981.2738853620656
89,90,-1983.8626025048652
90,91,-1986.3984500529418
91,92,-1988.882974833801
92,93,-1991.3176662074507
93,94,-1993.7039586295452
94,95,-1996.043234082128
95,96,-1998.3368243797033
96,97,-2000.5860133578633
97,98,-2002.7920389512342
98,99,-2004.956095167062
99,100,-2007.079333960375
100,101,-2009.1628670162697
101,102,-2011.2077674445222
102,103,-2013.215071391411
103,104,-2015.185779573324
104,105,-2017.1208587364513
105,106,-2019.02124304659
106,107,-2020.8878354128624
107,108,-2022.7215087488926
108,109,-2024.5231071748058
109,110,-2026.2934471631816
110,111,-2028.0333186319376
111,112,-2029.7434859869215
112,113,-2031.4246891168368
113,114,-2033.077644342979
